0.005,90.8
0.01,55.9
0.015,53.6
0.02,53.3
0.025,53.1
0.03,53.8
0.035,53.9
0.04,53.4
0.045,54.4
0.05,54.3
0.055,55.8
0.06,53.5
0.065,53.7
0.07,70.9
0.075,68.8
0.08,69.1
0.085,58.2
0.09,53.2
0.095,53.9
0.1,53.5
0.105,53.2
0.11,53.3
0.115,53.0
0.12,53.2
0.125,53.4
0.13,53.3
0.135,53.4
0.14,53.2
0.145,53.3
0.15,53.0
0.155,53.1
0.16,53.3
0.165,53.2
0.17,53.2
0.175,53.0
0.18,53.1
0.185,53.6
0.19,53.4
0.195,53.0
0.2,53.2
0.205,53.2
0.21,53.5
0.215,53.2
0.22,53.3
0.225,53.2
0.23,53.6
0.235,53.3
0.24,53.1
0.245,54.5
0.25,53.3
